index,zone,timestep,supply,supply_tons
0,A26,1,0.0,478.2266319891899
1,A26,2,0.0,499.3702764499447
2,A26,3,0.0,279.1472034039128
3,A26,4,0.0,528.305981555847
4,A26,5,0.0,153.8250282010491
5,A26,6,0.0,529.845787059663
6,A26,7,0.0,240.61653113301603
7,A26,8,0.0,293.0523238577254
8,A26,9,0.0,121.79276959410683
9,A26,10,0.0,515.8455232771098
10,A26,11,0.0,110.39908245174212
11,A26,12,0.0,107.59149467872965
12,A26,13,0.0,161.94630581463346
13,A26,14,0.0,360.13113890716573
14,A26,15,0.0,407.2372682360489
15,A26,16,0.0,554.7286884688275
16,A26,17,0.0,131.33300660461828
17,A26,18,0.0,537.5108386489104
18,A26,19,2.0,32725.782777152857
19,A26,20,0.0,588.9408553089554
20,A26,21,0.0,545.6405618235318
21,A26,22,0.0,562.2594991992486
22,A26,23,0.0,118.18469968162894
23,A26,24,0.0,556.2594915410665
24,A26,25,0.0,551.405317761351
25,A26,26,0.0,320.5959355298577
26,A26,27,0.0,126.48449751515197
27,A26,28,0.0,459.6294873960071
28,A26,29,0.0,553.1876455823535
29,A26,30,0.0,291.1280260043628
30,A26,31,0.0,577.0801403628869
31,A26,32,2.0,32725.782777152857
32,A26,33,1.0,16362.891388576429
33,A26,34,0.0,195.92024915714836
34,A26,35,0.0,337.1940154972951
35,A26,36,0.0,485.0418852649477
36,A26,37,0.0,527.1065683629835
37,A26,38,3.0,38381.782777152854
38,A26,39,0.0,468.842849700564
39,A26,40,0.0,355.4360230001751
40,A26,41,0.0,478.87386336551805
41,A26,42,0.0,121.55296503744081
42,A26,43,0.0,380.4439743893827
43,A26,44,0.0,305.572050080215
44,A26,45,0.0,475.1049597617636
45,A26,46,0.0,373.98820001856416
46,A26,47,0.0,162.52870550495118
47,A26,48,0.0,505.8818133827291
48,A26,49,0.0,294.48954987542004
49,A26,50,0.0,300.71371553266243
50,A26,51,0.0,501.33315064809756
51,A27,1,0.0,249.42093990735938
52,A27,2,0.0,294.1420782919936
53,A27,3,0.0,354.57222672055735
54,A27,4,0.0,572.6558287835854
55,A27,5,0.0,207.9755973655936
56,A27,6,0.0,155.74903003201098
57,A27,7,0.0,491.1309815873582
58,A27,8,0.0,172.18480803677167
59,A27,9,0.0,178.82342942700657
60,A27,10,0.0,433.35716221738585
61,A27,11,0.0,545.4397379248903
62,A27,12,0.0,537.4802188546353
63,A27,13,0.0,111.99441886636212
64,A27,14,0.0,101.10687313917477
65,A27,15,0.0,268.1072489003577
66,A27,16,0.0,439.63131674034696
67,A27,17,0.0,173.76309095435803
68,A27,18,0.0,355.0903723205778
69,A27,19,0.0,217.97109323425522
70,A27,20,0.0,512.058736520205
71,A27,21,0.0,560.3137502294874
72,A27,22,0.0,339.14639510793137
73,A27,23,0.0,396.3056179954714
74,A27,24,0.0,378.72540710581495
75,A27,25,0.0,304.6173831754859
76,A27,26,0.0,453.20701666708277
77,A27,27,0.0,130.54740064181644
78,A27,28,0.0,328.3040962091235
79,A27,29,0.0,568.2533304986299
80,A27,30,0.0,386.9674329678673
81,A27,31,0.0,284.8922519074993
82,A27,32,0.0,221.43293560908955
83,A27,33,0.0,259.6955749490207
84,A27,34,0.0,238.50902243371226
85,A27,35,0.0,522.949025939596
86,A27,36,0.0,183.48549841633374
87,A27,37,0.0,259.9012132689501
88,A27,38,3.0,109129.78277715285
89,A27,39,0.0,533.747212132206
90,A27,40,0.0,276.11096191218377
91,A27,41,0.0,274.5120289737549
92,A27,42,0.0,280.9569530350196
