index,timestep,splits_without_prev_grounding,runtime_without_prev_grounding,splits_with_prev_grounding,runtime_with_prev_grounding,kl
0,0.0,367.0,2008.044,33.0,316.02599999999995,0.0036003689404114007
1,1.0,734.0,5736.054,53.0,702.025,0.0038472075394802865
2,2.0,1101.0,11629.0,73.0,1211.043,0.0037856493263043315
3,3.0,1835.0,21152.05,113.0,1991.018,0.0238496866550961698
4,4.0,2936.0,36444.002,173.0,3278.9790000000003,0.04175519414794876
5,5.0,4771.0,61739.063,273.0,5475.027,0.04181519683439421
6,6.0,7707.0,101322.253,433.0,8326.027,0.041832027336186996
7,7.0,12478.0,167741.258,693.0,13007.043,0.0418357265762859
8,8.0,20185.0,286379.205,1113.0,19727.982,0.0418358098756678
9,9.0,32663.0,458975.257,1793.0,29952.03,0.051835179638369566
10,10.0,32663.0,611704.272,1793.0,39585.026,0.071835179638369566
11,11.0,32663.0,783264.305,1793.0,48462.98,0.06183231638369566
